eval_count,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17
63,0.3741723484346,0.00868653519139112,-0.20312056678078286,-1.9867755422384121,-1.0705529083445446,-0.28067251685698924,-0.2269130283146848,0.771041528330454,-0.44524640437959606,-0.04293412691311605,-0.3110367026371939,-0.3535427027246877,-1.0356394457600269,0.4970126170800326,-0.7192753156300417,-0.01842437029836544,-0.332268046923449,-0.8172144284290473,-0.4189173055912208
64,1.3259195242712885,0.29370531409907935,0.06152342817193393,-1.8462654411497044,-1.0114800168925875,-0.779173850310695,-0.6330719715516124,0.9080995709176032,-0.4717725984027501,-0.03565866995335712,-0.21944126856475354,-0.7950961987800076,-1.3942402967612595,0.642895150569575,-0.7369770187508036,0.1390770266710446,-0.23368310900025485,-0.7865268343614935,-0.36002116317104116
65,0.6425439121866416,-0.03142571326191079,-0.23326048919679454,-2.039090651794159,-1.0619918151644845,-0.28818643939310334,-0.15715435642800585,0.7521895078796417,-0.45877245410541995,-0.09697949649475086,-0.42664791418325954,-0.3541866710712801,-1.189757616186216,0.46749328017405195,-0.7434686818110338,-0.05278182109223189,-0.44061449896487276,-0.5905960061634593,-0.05362337109166698
66,0.3286781537603396,-0.3423021371116319,-0.6694987160597139,-2.0430424594826757,-0.6523728349329354,-0.33972415868946926,-0.4083058051192207,1.0100730255987487,-0.4917829578383502,0.2140968425245795,-0.3433276518948026,-0.1687775694452613,-0.7434352969466017,0.7763161844952622,-0.7255397989418627,-0.021037700777206833,-0.3063722211805475,-1.1265247620004513,-0.26227562957706574
67,0.7850618996561542,-0.4693223132696141,-0.5735105028231133,-1.8822107017765974,-1.0788814241425158,-0.07429625281942437,-0.3611203648843442,1.4985290196006316,-0.3144504865005889,-0.10563336856985667,-0.5229470435476902,-0.019372135038215194,-0.3448752485581086,0.9658688827351942,-0.8471106233660555,-0.10458458674383576,-0.4634178035592048,-1.2047416470181085,-0.4037945528761353
68,0.5352969742993361,-0.3915495994903767,-0.7370830343732582,-2.0316451253231853,-0.7277080965775845,-0.35737509349564095,-0.6663511379704399,0.937884369827408,-0.5536330978381435,0.21418112890251292,-0.24281358603735637,-0.15958722317948676,-0.5318109381367379,0.7225544265503918,-0.7689630411151859,-0.06468285683130841,-0.21628060735861682,-0.8240924896823154,-0.26785744444127607
69,1.0011047753811235,-0.2959712022145572,-0.7352653860035245,-2.156138664257745,-0.2747686982477501,-0.4417760872948093,-0.45981242221028434,1.0337558162016418,-0.5759980658235626,0.2782045773045696,-0.6349271095291382,0.0231756435721594,-0.7057692864397611,0.8399456030173561,-0.7698082790078776,0.045713954157886136,-0.5045846615823855,-1.254564066823669,0.5275855847120736
70,0.49934168868352824,-0.349060051923829,-0.633526422183855,-2.15776807740912,-0.579432873445706,-0.3338366061768425,-0.42142381881302643,1.0463257745115013,-0.4500559089829055,0.1150096708120495,0.017978556536192736,-0.1836172551991414,-0.7164530993526449,0.7699815734906628,-0.72640011000377,-0.03774848383271775,-0.5966920166128062,-1.1459557314472295,-0.23729559158637167
71,1.050766267934427,-0.4460135164346151,-0.6921451866225834,-2.2371264459572644,-0.8518316106717614,0.013691596532281691,-0.23361240157526156,1.005296491344683,-0.39848923876664677,0.5778596210928846,-0.2041437733505171,-0.7861214342774405,-0.5735591894414822,0.670545227210755,-0.7332405029006012,-0.11881457569288736,-0.05987716593174375,-1.3324438678780934,-0.014293329485177891
72,0.9582889599118865,-0.36299055155306026,-0.5973555754946264,-2.3078360960527156,-0.4762932143085889,-0.32638531994599035,-0.39881504585235134,1.0926032286640261,-0.41200686136972536,-0.04106994146801346,-0.3596331611731525,-0.18218713936425787,-0.7369323669917153,0.7658288512727494,-0.7387812387610277,-0.0620088557377351,-0.05930015412958525,-1.0973147894282933,-0.2808322646326694
