eval_count,mean_qubo_energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27
33,33.64306640625,1.430605752301706,0.7933599895038962,1.1986374621194102,1.2191994810486655,0.8980766195509412,1.2992568926334767,1.546736552200468,1.1852461749887115,-0.22651818146241054,1.0311867603202645,0.9847709133802023,0.008582703902218908,1.0799725247769436,0.7883635977979109,0.18576968470279054,-0.31138970098967766,-0.1759382068217,-0.22574408627221473,0.21274340877063394,0.33362601311228846,1.8160612484198904,-0.7063356202142048,-0.47757191092767376,-0.22913961055512067,0.045740332192599126,-0.4634018951876691,-0.19925000322202568,0.8392883808023729
34,33.8505859375,1.3350073973085697,1.0351785346566338,1.6767991561159041,1.1655996293839914,0.8749915349230866,1.2575976019832102,1.3777112773965206,1.1581809033560544,-0.19679945182655167,1.0116838439967322,0.9708402588633934,0.07054094827697827,1.0714018554266023,1.1407169442146499,-0.11600875217292439,-0.4562160969760127,-0.32248935051011623,-0.4282831938281865,-0.04060941954665008,0.004118940103116097,1.3117972891183003,-0.44892351712205464,-0.21339348992735915,-0.07176287418367394,0.08052730881612799,-0.3232726358370334,-0.11847859940301161,0.8406815884556086
35,32.1494140625,1.517263734134247,0.8722360566694214,0.9210043097165179,1.267786666174578,0.9190027834418045,1.3370201998848048,1.699954556780697,1.209780298171103,-0.25345761083915413,1.0488657608487526,0.9973987709005508,-0.047581195735902776,1.087741663784701,1.0806267327422687,-0.15233858630591826,-0.7917718333943133,-0.6547568902000068,-0.6538108089496923,-0.16926170028500062,0.020653191834559284,1.2464246692273198,-0.5245971502534316,-0.30196697176249826,0.04327890293272693,0.42928399185951416,-0.17534889143653276,0.1426097000967672,1.2531028189252091
36,31.715087890625,1.569780323943153,0.8252846944949154,0.8598821209356662,1.2972315391945584,0.9316844861781327,2.0733731365224046,1.0793403784493565,1.2246485013792119,-0.2697834810284501,1.059579613160478,1.0050515225517833,-0.08161771974662255,1.0924499281339355,1.0734055240955258,-0.17290051032060227,-0.8985547593462169,-0.7605923326141386,-0.7288894780607755,-0.21642604670635,0.015323887773280854,1.2982429311602277,-0.6271510427115974,-0.40823791502269136,-0.004320944334683691,0.44902835912294947,-0.21347390332622695,0.13709269857622938,1.2911919251468846
37,36.08056640625,1.3376101350817007,1.1922538139690346,1.2291658265094283,1.3906595048612853,0.9719232634702378,2.2741514742868105,1.2457986978105995,1.2718249988940937,-0.3215851253585165,1.0935744422520841,1.0293335433315018,-0.18961489788118063,1.1073891523469814,0.8038877561376302,0.008461959339876923,-0.990769723803901,-0.8498009516419528,-0.7205074992881966,-0.11947250642298796,0.24501914165243807,1.4377885017584018,-0.6810746827236116,-0.47395567941342587,0.1161234505857578,0.7831545369049149,-0.06296605410708614,0.3910650820510474,1.683525575597947
38,33.968505859375,1.569780323943153,0.8252846944949154,0.8598821209356662,1.6880355878003752,1.1863374468825683,1.9460466561701868,0.9520138980971387,1.2246485013792119,-0.2697834810284501,1.059579613160478,1.0050515225517833,-0.08161771974662255,1.0924499281339355,1.0734055240955258,-0.17290051032060227,-0.8985547593462169,-0.7605923326141386,-0.7288894780607755,-0.21642604670635,0.015323887773280843,1.2982429311602277,-0.6271510427115974,-0.40823791502269136,-0.004320944334683693,0.44902835912294947,-0.21347390332622695,0.13709269857622938,1.2911919251468846
39,33.361572265625,1.6200578893911293,0.7809775596180545,0.8017651531281101,0.5987600795749118,1.5145899426683596,1.8325233285944285,0.8641606347534248,1.2393378796951762,-0.2859129944734305,1.0701646063587464,1.0126122319791178,-0.11524487500914857,1.0971015646006574,1.065277220128935,-0.1922211819130585,-1.0030594238199757,-0.864160909254037,-0.8020712034784342,-0.26202918440335016,0.011052628279042867,1.349337707439786,-0.7273772877542454,-0.5121365046443304,-0.05025409501342451,0.46962945140475265,-0.2500461756663631,0.13273624907218348,1.3299171180273555
40,35.137939453125,1.569780323943153,0.8252846944949154,0.8598821209356662,1.2972315391945584,0.8696074387943113,2.0112960891385834,1.0172633310655352,1.2246485013792119,-0.7580859698244017,1.059579613160478,1.0050515225517833,-0.08161771974662255,1.0924499281339355,1.0734055240955258,-0.17290051032060227,-0.8985547593462169,-0.7605923326141386,-0.7288894780607755,-0.21642604670635,0.01532388777328085,1.2982429311602277,-0.6271510427115974,-0.40823791502269136,-0.004320944334683694,0.44902835912294947,-0.21347390332622695,0.13709269857622938,1.2911919251468846
41,31.02783203125,1.6432205437127945,0.7605654565261092,0.7749909204548384,1.2325182353718787,0.3050829450975462,1.7099400397251268,0.7534034321101364,1.2461052119854579,0.19950334647721318,1.0750410663914494,1.016095417716763,-0.1307367582422936,1.0992445531592467,1.061532546071589,-0.20112213074323884,-1.0512042652942901,-0.9118744991608334,-0.8357857040396476,-0.2830383503215347,0.0090848777266512,1.3728768472143804,-0.773551080124592,-0.5600021300872473,-0.07141529646772961,0.4791202844417238,-0.26689486144548863,0.1307292518551759,1.3477576448754243
42,30.743408203125,1.705732194239484,0.7054770267944204,0.7027322987636992,1.1774348567316764,0.26068934219421824,1.8895530352537293,0.9649328116158361,1.2643689698973648,0.41247263080422836,1.0882017154750292,1.0254958813478914,-0.17254643934455097,1.1050280764980172,1.1824603279031554,-0.35617807196705475,-0.28027971460272105,-1.1716784637029385,-1.057808757607122,-0.4707720936916545,-0.1272596644599659,1.3217498520881765,-0.9145447113963678,-0.7055617008369999,-0.1449046460454968,0.4883550148178876,-0.3287455417656681,0.10893349942610979,1.3795266294987791
43,29.522705078125,1.7723339972037935,0.646784147760029,0.6257457779504139,1.1187473592829111,0.21339105509842538,2.0809181525916225,1.1903026096662996,1.2838277299139047,0.6393765469972881,1.1022234690163595,1.0355114195916988,-0.2170917380098654,1.1111900171699214,1.3132524745011305,-0.5233313916939761,-0.48064567132852193,-0.41528099665744167,-1.2963108640613563,-0.6727413320756203,-0.27447729377778507,1.2655695784174226,-1.06500759395669,-0.8608892734014569,-0.22344642540743118,0.49794997200145763,-0.3948871309209838,0.08546764179726449,1.413130262643933
44,33.348876953125,1.8145364628672045,0.6633889880294623,0.6103972917290991,1.2510708617410615,0.2214748154441382,1.3262061794650695,1.041486433587099,1.334262290287218,0.6500148221012253,1.1385660198736,1.0614703844897277,-0.33254732474681314,1.1271609612881373,1.3165075097931827,-0.6208298309777294,-0.47312848452134193,-0.3190204071999479,-1.578736024713925,-0.8604780779096646,-0.32030503150260464,1.3350308202973045,-1.3343197652896965,-1.1428100848277918,-0.3063485059488775,0.6434867825626659,-0.4456495406362991,0.145315145371265,1.6208944204892735
45,30.346435546875,1.7723339972037937,0.646784147760029,0.625745777950414,1.1187473592829111,0.21339105509842538,2.0809181525916225,1.1903026096662999,1.7733727989608625,0.6393765469972881,1.1022234690163595,1.0355114195916988,-0.2170917380098654,1.1111900171699214,1.31556953576416,-0.5256484529570056,-0.48064567132852193,-0.41528099665744167,-1.2986279253243858,-0.6750583933386497,-0.2767943550408145,1.2771548847325698,-1.0789099615348667,-0.7658897616172498,-0.23734879298560785,0.484047604423281,-0.40878949849916046,0.07156527421908782,1.3992278950657564
46,29.707275390625,1.8390661764271499,0.5941468656314007,0.5524435365333896,1.0793882541483335,0.17036510952959733,2.172182127436895,1.3826638563541882,1.0295377153305723,0.8514531768676141,1.1194221178049564,1.047796168726411,-0.27172962225663266,1.1187480628280395,1.311308732201268,-0.5659871386336589,-0.6659787384633982,-0.5562417062892995,-1.4264808238845121,-0.7581012069597786,-0.2926805400588505,1.4569384501850247,-1.347469223537983,-0.13146358219257215,-0.4176918564404103,0.4118103333539451,-0.5739228725490813,-0.04122336875587859,1.3564389226364877
47,30.770751953125,1.7723339972037937,0.646784147760029,0.625745777950414,1.1187473592829111,0.21339105509842538,2.0809181525916225,1.1903026096662999,1.2838277299139045,0.6393765469972881,1.597676773884651,1.0355114195916988,-0.2170917380098654,1.1111900171699214,1.315028431365481,-0.5251073485583265,-0.48064567132852193,-0.4152809966574416,-1.2980868209257068,-0.6745172889399706,-0.2762532506421355,1.2744493627391749,-1.0028491037044245,-0.8608892734014569,-0.23410216659353383,0.48729423081535495,-0.4055428721070865,0.07481190061116182,1.4024745214578305
48,28.980712890625,1.8419012382671618,0.5919106139210331,0.5493293509958075,1.0777161148847472,0.16853718756103211,2.1760594024706625,1.3908361659704613,1.2354153605161984,0.8604630783499443,0.8650356777188125,1.0483180762062996,-0.2740508679052801,1.1190691601918568,1.3126008711665453,-0.5691740502783036,-0.6738524616422522,-0.5622303062941132,-1.4333857050049348,-0.7631023684154644,-0.29482860729114535,1.4719421858719846,-0.33731148834042834,-1.074517312107119,-0.4341925176466609,0.3999024579707144,-0.5897773625897554,-0.05485403587748455,1.3457821340407614
49,29.43896484375,1.8964743833232036,0.5488641846511795,0.489383251522645,1.0455284929790398,0.1333508472372447,2.2506944915024736,1.5481479507920317,1.197437495974451,1.033897976169959,0.7840053327190603,1.0583644646849644,-0.3187333766627703,1.1252500811034924,1.4774080574963833,-0.7704544107802086,-0.8254166466298252,-0.6775070639764018,-0.6227613265736136,-0.9993058888670138,-0.4761118707259937,1.3769529471645092,-0.48115616665345284,-1.2421012749913487,-0.5079524767482712,0.41455071748135464,-0.6510989359558759,-0.07336842633546548,1.3845130219331154
50,29.752197265625,1.8419012382671618,0.5919106139210331,0.5493293509958075,1.0777161148847472,0.16853718756103211,2.1760594024706625,1.3908361659704613,1.2354153605161984,0.8604630783499443,0.8650356777188125,1.0483180762062996,-0.6772243399936995,1.1190691601918568,1.38130314314308,-0.6378763222548381,-0.6738524616422522,-0.5622303062941132,-1.4333857050049348,-0.4997436591720818,-0.36353087926767996,1.4146902925582057,-0.33731148834042834,-1.074517312107119,-0.44564289630941667,0.3884520793079586,-0.6012277412525112,-0.06630441454024032,1.3343317553780056
