eval_count,mean_qubo_energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39
81,5.669098164292723,1.9888510014949405,-0.04633648237891694,-0.04592340650102601,-0.04349094550572792,1.9857236021997424,-0.1878647992187229,2.128846879139304,-0.06648336915369082,-0.05376017834577776,2.1501055018719333,0.04839254995959722,0.05943314614914367,2.2996185496332315,0.019875743256874478,2.2652909857102883,0.024836787246342237,0.029995883370350154,0.014405685676592572,2.2712763406533436,2.3348239506015287,1.179922207333707,-0.06484854791367353,-0.06520122964448234,-0.04729498611158375,1.1272114750025013,-0.061848923212243334,1.182740061598809,-0.06531610191712,0.04471246367230138,1.2039793717703988,-0.0652012296444825,-0.055272743468303215,1.1799222073337066,-0.06484854791367393,1.1272114750025024,-0.02599708369999757,-0.01991636485183137,-0.06184892321224355,1.1827400615988086,1.2039793717703993
82,5.530562965254031,1.9874846124219439,-0.04809005030320194,-0.04778672739629704,-0.04467146190820893,1.9842377914894307,-0.18785134528015784,2.1262861873214254,-0.06788138983125419,-0.05373790466705042,2.1463190082824504,0.047474296007291535,0.05989910134682914,2.2964287758126183,0.019612258788810406,2.2626202659024983,0.02438920915847763,0.03041326287274197,0.012392335461866726,2.268357810458957,2.332646228544036,1.1730129782295935,-0.07502716669204505,-0.07538840134824303,-0.048026805492197934,1.1190239518404508,-0.07195479774551908,1.1758991686039453,0.029015279882538075,0.04389187954521393,1.1976535557396801,-0.07538840134824318,-0.057293835640482633,1.173012978229593,-0.07502716669204548,1.119023951840452,-0.027170877190541523,-0.021232385229931386,-0.07195479774551931,1.1758991686039448,1.1976535557396806
83,5.554612633403547,1.9859781372697793,-0.050023735111288166,-0.049841241175867954,-0.045971952473219425,1.9825981420497405,-0.18783515254516783,2.1234604776947132,-0.06942299846230789,-0.053712135715552854,2.1421400164093836,0.04646247821422542,0.06041486839279123,2.292908510558625,0.01932314518826935,2.2596728902212875,0.023896971286472304,0.030875563206272657,0.010172171171002338,2.2651370096029724,2.3302429948670857,1.1653812252297118,-0.08626683910261089,-0.08663751229890478,-0.04883269734864809,1.1099815435184133,-0.08311419359071767,1.168342827592103,0.028274315824063343,0.04298799093689848,1.1906656254595314,0.018327518664569997,-0.05952248584061825,1.1653812252297113,-0.08626683910261133,1.1099815435184144,-0.028464565652203854,-0.022682985611925464,-0.08311419359071791,1.1683428275921026,1.1906656254595318
84,5.511847842267301,1.987483163594389,-0.04809156106840681,-0.04778853725699631,-0.04467380853562472,1.9842377812260352,-0.1878527409053826,2.1262860528739673,-0.0678826036816605,-0.05373913771115343,2.1463194489429,0.04747272274890927,0.05989747890805611,2.2964289889768636,0.019610544023569026,2.2626203857406093,0.024387461863412046,0.03041149652150803,0.012390615175181124,2.268357883837639,2.3326462481116765,1.1730203479513106,-0.07501979697032803,-0.04008522485632834,-0.04802857263831776,1.119031321562168,-0.07194742802380205,1.1759065383256624,0.029013573074938404,0.04389015475250285,1.1976609254613972,-0.07539010733882977,-0.05729561575828634,1.1730203479513102,-0.11043458223610444,1.119031321562169,-0.027172583998141212,-0.021234135475608384,-0.07194742802380229,1.175906538325662,1.1976609254613977
85,5.3485804904704075,1.984988488992731,-0.05129445819062493,-0.05119111601086769,-0.046824938812562736,1.9815190855404972,-0.18782278368135708,2.1216010159029883,-0.0704360567099361,-0.05369366411936142,2.139389240936625,0.04579852137538285,0.06075629019984858,2.2905915285347187,0.019134980557200386,2.2577330468476933,0.023575168524677368,0.031181974618248856,0.008713170240943533,2.2630172794865326,2.328661379611742,1.1603496532301107,-0.093672817643971,0.02082619168153984,-0.04936089446607057,1.1040216056536616,-0.09046734135060476,1.1633608849487451,0.027788774288039733,0.042395249249783426,1.186057759397746,-0.07817475651908506,-0.060986998023585946,1.1603496532301103,-0.05022302052453526,1.1040216056536627,-0.029313860445806385,-0.023635492359371835,-0.09046734135060502,1.1633608849487447,1.1860577593977464
86,5.153768545986583,1.982845637036844,-0.05404618223039733,-0.05411408298317729,-0.048671032282023324,1.9791814272591397,-0.18779490852064917,2.117572784956768,-0.07262980570116376,-0.053652693737811556,2.1334296247748292,0.044361343032665305,0.061497200507962146,2.28557185770455,0.01872866708935591,2.2535304807309204,0.02287936678995731,0.031847149756374746,0.005553723408655124,2.258425042959019,2.3252349558335537,1.149443564853291,-0.002673158630904393,0.01966522559644051,-0.050503813236540185,1.0911043070180522,-0.10640288757472094,1.15256231352635,0.0267382178364139,0.04111246847835882,1.176069586856518,-0.08056655349828083,-0.0641583381559403,1.1494435648532904,-0.05180589568226647,1.0911043070180533,-0.031152451346751396,-0.025697647872795003,-0.10640288757472122,1.1525623135263496,1.1760695868565185
87,5.009010167274255,1.9804211756666075,-0.05716863694860056,-0.05742551288688641,-0.050731140349684026,1.9764956800676083,-0.18772654763498403,2.112947770060177,-0.07511886581717017,-0.05357351860477532,2.126570439509576,0.04275095349221086,0.06239075705905027,2.2797986100466505,0.018306444933571902,2.2486985316456245,0.02212536387845453,0.03265743155818837,0.0019682417458517995,2.253146564529982,2.321297419542817,1.1367204061138887,-0.0037407447268466426,0.018375664626007107,-0.05177104545586488,1.0760702289673596,-0.12490499021809509,1.1399626938377185,0.025575540929670272,0.03968342955658366,1.1644011310858073,-0.08327036286450949,-0.06775592788840207,1.136720406113888,-0.053580303600846646,1.0760702289673607,-0.03322059500861677,-0.02802154077170757,-0.016844038297973762,1.1399626938377179,1.1644011310858078
88,4.500902125939177,1.9775112849631922,-0.06091627428688823,-0.06139996230897564,-0.05320372637959948,1.9732721884994182,-0.1876444994290954,2.1073967276653733,-0.07810628932522219,-0.05347849090650297,2.1183378977659157,0.04081812931519033,0.06346322285822009,2.2728694339853313,0.01779968481729422,2.2428991223849577,0.021220393360274706,0.03362994921146571,-0.0023351304942425787,2.2468112211430364,2.3165715037631576,1.1214497972321102,-0.005022084530324173,0.016827905801957383,-0.05329200483238875,1.0580260050043846,-0.03751181884569585,1.1248403591828506,0.024180071089010876,0.03796826629420249,1.1503963994009754,-0.08651553304341322,-0.07207383249422845,1.1214497972321096,-0.055709986164458304,1.058026005004386,-0.035702825531597655,-0.030810727031919477,-0.018953373441128057,1.12484035918285,1.1503963994009758
89,4.609167603521424,1.9736305406616559,-0.07010831365339514,-0.07133721989105593,-0.05950750789333625,1.9715472493623454,-0.19354510133958308,2.103924150099112,-0.08437318073072436,-0.05748319242851428,2.1105326134510465,0.03909916299824138,0.06255811194935025,2.252623866021628,0.03298360357424083,2.25675390917768,0.01904029601189878,0.03235582433255104,-0.00558624599518193,2.247909446717223,2.3105394915144446,1.1165718889908043,-0.010486746349876709,0.011002328404053387,-0.07194853939794733,1.049499940560081,-0.03957553105103446,1.1201574771167035,0.0185513829210236,0.0318438509122829,1.1471835086956579,-0.09457372801151677,0.00434912402280592,1.1165718889908036,-0.06229047942134079,1.0494999405600822,-0.04276093797379777,-0.07465209765216842,-0.025417861261094462,1.1201574771167027,1.1471835086956583
90,4.657554465335274,1.9779871276620609,-0.062432605103842756,-0.06314293138250765,-0.05472508839490768,1.9749416992426527,-0.1885636123474045,2.1083586438503783,-0.07837021445664989,-0.05436654536052527,2.1181778670367724,0.04224678432732174,0.06410390096178628,2.275705767185433,0.017362288771966092,2.2453874408740098,0.019451489253756882,0.03147408852809881,-0.00326648778150857,2.248172563365665,2.316539110476024,1.1275458765620874,-0.00658076745389639,0.015265641115972355,-0.05785012578741083,1.0126516717042693,-0.03904003820376529,1.1309364385128278,0.022616639784081724,0.03637915391774885,1.1564924787309525,-0.08807779772939825,-0.07127074657541636,1.1275458765620867,-0.05726866908803053,1.064122084334363,-0.03726625683652681,-0.02095726062357984,-0.020481592799197496,1.130936438512827,1.156492478730953
